Tamaño,k,Nº pruebas,Tiempo QNodes (s),Tiempo Geometric (s),Pérdida QNodes,Pérdida Geometric,% misma k-part.,Speedup (Q/G),Δpérdida media
10,2,49,0.197,0.02,0.01888,0.01888,100.0,9.63,0.0
10,3,49,0.14,0.039,0.05509,0.05547,98.0,3.56,0.000382
10,4,49,0.115,0.059,0.11029,0.11521,87.8,1.93,0.004919
10,5,49,0.092,0.072,0.16787,0.18951,73.5,1.28,0.021638
15,2,50,1.141,0.088,0.01007,0.01007,100.0,12.93,-0.0
15,3,50,0.785,0.251,0.02849,0.02849,100.0,3.13,-0.0
15,4,50,0.726,0.538,0.05398,0.05407,98.0,1.35,8.9e-05
15,5,50,0.671,0.91,0.08834,0.09054,92.0,0.74,0.002199
20,2,50,43.141,2.074,0.00948,0.00948,100.0,20.8,-0.0
20,3,50,29.54,7.757,0.02865,0.02865,100.0,3.81,-0.0
20,4,50,31.998,17.267,0.05552,0.05574,98.0,1.85,0.000218
20,5,50,28.264,20.149,0.09128,0.09173,94.0,1.4,0.000449
